id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29430,28982,28849,Dashed,1049,0,uni,18:17:18,1892
29426,29179,29178,Solid-Weak,1049,0,uni,18:14:39,1892
29429,29177,29178,Solid-Weak,1049,0,uni,18:14:03,1892
29428,29020,29177,Solid-Weak,1049,0,uni,18:13:29,1892
29415,29163,29020,Solid-Weak,1049,0,uni,18:07:00,1892
29413,29161,29162,Solid-Weak,1049,0,none,18:05:30,1892
29412,29162,29163,Solid-Weak,1049,0,none,18:05:20,1892
29410,29160,29162,Solid-Weak,1049,0,none,18:05:08,1892
29405,29037,29130,Solid-Weak,1049,0,none,18:04:50,1892
29402,29130,29026,Solid-Weak,1049,0,uni,18:04:43,1892
29393,29130,29162,Solid-Weak,1049,0,uni,18:03:21,1892
29391,29130,29033,Solid-Strong,1049,0,uni,18:00:22,1892
29346,29130,28982,Dashed-Weak,1049,0,uni,17:45:03,1892
29264,28880,28982,Solid-Weak,1049,0,uni,17:34:53,1892
29189,28945,28849,Solid-Weak,1049,0,uni,17:52:08,1892
29247,28871,29010,Dashed,1049,0,uni,17:49:18,1892
29212,29026,28849,Solid-Strong,1049,0,uni,17:29:03,1892
29232,28880,28888,Solid-Weak,1049,0,uni,17:27:13,1892
29078,28871,28849,Dashed-Weak,1049,0,uni,17:25:55,1892
29226,28873,28849,Dashed-Strong,1049,0,uni,17:25:36,1892
29225,28913,28917,Solid-Weak,1049,0,uni,17:24:52,1892
29220,28917,28982,Solid-Strong,1049,0,uni,17:35:02,1892
29211,29020,29026,Solid-Weak,1049,0,none,17:22:38,1892
29210,29026,29033,Solid-Weak,1049,0,none,17:22:35,1892
29208,29037,29046,Solid-Weak,1049,0,none,17:22:23,1892
29195,29020,28880,Solid-Weak,1049,0,uni,17:17:15,1892
29166,28984,29010,Solid-Weak,1049,0,uni,17:14:12,1892
29156,28945,29000,Solid-Weak,1049,0,none,17:13:25,1892
29155,28945,29005,Solid-Weak,1049,0,none,17:13:22,1892
29152,28945,28988,Solid-Weak,1049,0,none,17:13:17,1892
29150,28945,28984,Solid-Weak,1049,0,none,17:13:14,1892
29081,28913,28915,Solid-Weak,1049,0,uni,17:08:12,1892
29061,28888,28873,Solid-Strong,1049,0,uni,17:06:57,1892
29049,28917,28956,Solid-Weak,1049,0,none,17:06:03,1892
28971,28871,28873,Solid-Weak,1049,0,uni,16:59:58,1892
28949,28917,28873,Solid-Strong,1049,0,uni,17:39:37,1892
